timestamp,price,number,color,colorseries,num_plus_color,num_times_color
20220106222,25455,5,green + violet,1,6,5
20220106223,25473,3,green,0,3,0
20220106224,25476,6,red,2,8,12
20220106225,25435,5,green + violet,1,6,5
20220106226,25496,6,red,2,8,12
20220106227,25445,5,green + violet,1,6,5
20220106228,25416,6,red,2,8,12
20220106229,25481,1,green,0,1,0
20220106230,25498,8,red,2,10,16
20220106231,25445,5,green + violet,1,6,5
20220106232,25422,2,red,2,4,4
20220106233,25429,9,green,0,9,0
20220106234,25425,5,green + violet,1,6,5
20220106235,25407,7,green,0,7,0
20220106236,25484,4,red,2,6,8
20220106237,25497,7,green,0,7,0
20220106238,25442,2,red,2,4,4
20220106239,25404,4,red,2,6,8
20220106240,25458,8,red,2,10,16
20220106241,25425,5,green + violet,1,6,5
20220106242,25424,4,red,2,6,8
20220106243,25405,5,green + violet,1,6,5
20220106244,25439,9,green,0,9,0
20220106245,25446,6,red,2,8,12
20220106246,25447,7,green,0,7,0
20220106247,25476,6,red,2,8,12
20220106248,25404,4,red,2,6,8
20220106249,25454,4,red,2,6,8
20220106250,25438,8,red,2,10,16
20220106251,25405,5,green + violet,1,6,5
20220106252,25486,6,red,2,8,12
20220106253,25462,2,red,2,4,4
20220106254,25432,2,red,2,4,4
20220106255,25492,2,red,2,4,4
20220106256,25478,8,red,2,10,16
20220106257,25409,9,green,0,9,0
20220106258,25406,6,red,2,8,12
20220106259,25452,2,red,2,4,4
20220106260,25413,3,green,0,3,0
20220106261,25468,8,red,2,10,16
20220106262,25404,4,red,2,6,8
20220106263,25412,2,red,2,4,4
20220106264,25471,1,green,0,1,0
20220106265,25486,6,red,2,8,12
20220106266,25420,0,red + violet,3,3,0
20220106267,25423,3,green,0,3,0
20220106268,25434,4,red,2,6,8
20220106269,25403,3,green,0,3,0
20220106270,25438,8,red,2,10,16
20220106271,25457,7,green,0,7,0
20220106272,25431,1,green,0,1,0
20220106273,25402,2,red,2,4,4
20220106274,25412,2,red,2,4,4
20220106275,25475,5,green + violet,1,6,5
20220106276,25496,6,red,2,8,12
20220106277,25472,2,red,2,4,4
20220106278,25468,8,red,2,10,16
20220106279,25451,1,green,0,1,0
20220106280,25481,1,green,0,1,0
20220106281,25439,9,green,0,9,0
20220106282,25452,2,red,2,4,4
20220106283,25448,8,red,2,10,16
20220106284,25451,1,green,0,1,0
20220106285,25437,7,green,0,7,0
20220106286,25463,3,green,0,3,0
20220106287,25404,4,red,2,6,8
20220106288,25481,1,green,0,1,0
20220106289,25430,0,red + violet,3,3,0
20220106290,25414,4,red,2,6,8
20220106291,25443,3,green,0,3,0
20220106292,25460,0,red + violet,3,3,0
20220106293,25446,6,red,2,8,12
20220106294,25498,8,red,2,10,16
20220106295,25423,3,green,0,3,0
20220106296,25454,4,red,2,6,8
20220106297,25467,7,green,0,7,0
20220106298,25464,4,red,2,6,8
20220106299,25433,3,green,0,3,0
20220106300,25426,6,red,2,8,12
20220106301,25409,9,green,0,9,0
20220106302,25404,4,red,2,6,8
20220106303,25435,5,green + violet,1,6,5
20220106304,25421,1,green,0,1,0
20220106305,25415,5,green + violet,1,6,5
20220106306,25494,4,red,2,6,8
20220106307,25486,6,red,2,8,12
20220106308,25412,2,red,2,4,4
20220106309,25434,4,red,2,6,8
20220106310,25479,9,green,0,9,0
20220106311,25488,8,red,2,10,16
20220106312,25441,1,green,0,1,0
20220106313,25407,7,green,0,7,0
20220106314,25464,4,red,2,6,8
20220106315,25499,9,green,0,9,0
20220106316,25486,6,red,2,8,12
20220106317,25428,8,red,2,10,16
20220106318,25476,6,red,2,8,12
20220106319,25446,6,red,2,8,12
20220106320,25469,9,green,0,9,0
20220106321,25484,4,red,2,6,8
20220106322,25401,1,green,0,1,0
20220106323,25486,6,red,2,8,12
20220106324,25448,8,red,2,10,16
20220106325,25496,6,red,2,8,12
20220106326,25421,1,green,0,1,0
20220106327,25499,9,green,0,9,0
20220106328,25490,0,red + violet,3,3,0
20220106329,25445,5,green + violet,1,6,5
20220106330,25433,3,green,0,3,0
20220106331,25409,9,green,0,9,0
20220106332,25408,8,red,2,10,16
20220106333,25404,4,red,2,6,8
20220106334,25440,0,red + violet,3,3,0
20220106335,25438,8,red,2,10,16
20220106336,25426,6,red,2,8,12
20220106337,25458,8,red,2,10,16
20220106338,25465,5,green + violet,1,6,5
20220106339,25413,3,green,0,3,0
20220106340,25485,5,green + violet,1,6,5
20220106341,25484,4,red,2,6,8
20220106342,25497,7,green,0,7,0
20220106343,25453,3,green,0,3,0
20220106344,25462,2,red,2,4,4
20220106345,25400,0,red + violet,3,3,0
20220106346,25413,3,green,0,3,0
20220106347,25455,5,green + violet,1,6,5
20220106348,25424,4,red,2,6,8
20220106349,25461,1,green,0,1,0
20220106350,25479,9,green,0,9,0
20220106351,25433,3,green,0,3,0
20220106352,25489,9,green,0,9,0
20220106353,25442,2,red,2,4,4
20220106354,25416,6,red,2,8,12
20220106355,25402,2,red,2,4,4
20220106356,25427,7,green,0,7,0
20220106357,25406,6,red,2,8,12
20220106358,25463,3,green,0,3,0
20220106359,25458,8,red,2,10,16
20220106360,25475,5,green + violet,1,6,5
20220106361,25441,1,green,0,1,0
20220106362,25424,4,red,2,6,8
20220106363,25460,0,red + violet,3,3,0
20220106364,25442,2,red,2,4,4
20220106365,25485,5,green + violet,1,6,5
20220106366,25456,6,red,2,8,12
20220106367,25482,2,red,2,4,4
20220106368,25421,1,green,0,1,0
20220106369,25450,0,red + violet,3,3,0
20220106370,25427,7,green,0,7,0
20220106371,25403,3,green,0,3,0
20220106372,25417,7,green,0,7,0
20220106373,25463,3,green,0,3,0
20220106374,25462,2,red,2,4,4
20220106375,25432,2,red,2,4,4
20220106376,25471,1,green,0,1,0
20220106377,25455,5,green + violet,1,6,5
20220106378,25432,2,red,2,4,4
20220106379,25494,4,red,2,6,8
20220106380,25446,6,red,2,8,12
20220106381,25441,1,green,0,1,0
20220106382,25456,6,red,2,8,12
20220106383,25404,4,red,2,6,8
20220106384,25494,4,red,2,6,8
20220106385,25445,5,green + violet,1,6,5
20220106386,25449,9,green,0,9,0
20220106387,25483,3,green,0,3,0
20220106388,25450,0,red + violet,3,3,0
20220106389,25428,8,red,2,10,16
20220106390,25497,7,green,0,7,0
20220106391,25488,8,red,2,10,16
20220106392,25435,5,green + violet,1,6,5
20220106393,25437,7,green,0,7,0
20220106394,25499,9,green,0,9,0
20220106395,25466,6,red,2,8,12
20220106396,25477,7,green,0,7,0
20220106397,25496,6,red,2,8,12
20220106398,25404,4,red,2,6,8
20220106399,25469,9,green,0,9,0
20220106400,25424,4,red,2,6,8
20220106401,25475,5,green + violet,1,6,5
20220106402,25433,3,green,0,3,0
20220106403,25482,2,red,2,4,4
20220106404,25466,6,red,2,8,12
20220106405,25408,8,red,2,10,16
20220106406,25457,7,green,0,7,0
20220106407,25400,0,red + violet,3,3,0
20220106408,25415,5,green + violet,1,6,5
20220106409,25415,5,green + violet,1,6,5
20220106410,25498,8,red,2,10,16
20220106411,25450,0,red + violet,3,3,0
20220106412,25469,9,green,0,9,0
20220106413,25417,7,green,0,7,0
20220106414,25471,1,green,0,1,0
20220106415,25433,3,green,0,3,0
20220106416,25449,9,green,0,9,0
20220106417,25426,6,red,2,8,12
20220106418,25463,3,green,0,3,0
20220106419,25427,7,green,0,7,0
20220106420,25451,1,green,0,1,0
20220106421,25408,8,red,2,10,16
20220106422,25461,1,green,0,1,0
20220106423,25497,7,green,0,7,0
20220106424,25486,6,red,2,8,12
20220106425,25413,3,green,0,3,0
20220106426,25486,6,red,2,8,12
20220106427,25497,7,green,0,7,0
20220106428,25445,5,green + violet,1,6,5
20220106429,25465,5,green + violet,1,6,5
20220106430,25421,1,green,0,1,0
20220106431,25455,5,green + violet,1,6,5
20220106432,25484,4,red,2,6,8
20220106433,25420,0,red + violet,3,3,0
20220106434,25423,3,green,0,3,0
20220106435,25471,1,green,0,1,0
20220106436,25486,6,red,2,8,12
20220106437,25405,5,green + violet,1,6,5
20220106438,25493,3,green,0,3,0
20220106439,25404,4,red,2,6,8
20220106440,25495,5,green + violet,1,6,5
20220106441,25485,5,green + violet,1,6,5
20220106442,25459,9,green,0,9,0
20220106443,25430,0,red + violet,3,3,0
20220106444,25472,2,red,2,4,4
20220106445,25422,2,red,2,4,4
20220106446,25420,0,red + violet,3,3,0
20220106447,25441,1,green,0,1,0
20220106448,25493,3,green,0,3,0
20220106449,25450,0,red + violet,3,3,0
20220106450,25458,8,red,2,10,16
20220106451,25439,9,green,0,9,0
20220106452,25460,0,red + violet,3,3,0
20220106453,25413,3,green,0,3,0
20220106454,25450,0,red + violet,3,3,0
20220106455,25427,7,green,0,7,0
20220106456,25458,8,red,2,10,16
20220106457,25484,4,red,2,6,8
20220106458,25403,3,green,0,3,0
20220106459,25419,9,green,0,9,0
20220106460,25428,8,red,2,10,16
20220106461,25490,0,red + violet,3,3,0
20220106462,25480,0,red + violet,3,3,0
20220106463,25475,5,green + violet,1,6,5
20220106464,25427,7,green,0,7,0
20220106465,25493,3,green,0,3,0
20220106466,25403,3,green,0,3,0
20220106467,25483,3,green,0,3,0
20220106468,25422,2,red,2,4,4
20220106469,25448,8,red,2,10,16
